Segment,Day,From,To,AvgSpeed,BusCount
Shaul4,21,15:00:00,15:15:00,4.1701299566620476,17
Shaul1,21,15:15:00,15:30:00,24.448881402858984,20
Shaul2,21,15:15:00,15:30:00,21.035673756922154,18
Shaul3,21,15:15:00,15:30:00,0,7
Shaul4,21,15:15:00,15:30:00,7.217532617299697,15
Shaul1,21,15:30:00,15:45:00,24.037975833063033,16
Shaul2,21,15:30:00,15:45:00,26.29459219615269,20
Shaul3,21,15:30:00,15:45:00,0,5
Shaul4,21,15:30:00,15:45:00,9.623376823066263,11
Shaul1,21,15:45:00,16:00:00,25.887050897144807,20
Shaul2,21,15:45:00,16:00:00,26.29459219615269,19
Shaul3,21,15:45:00,16:00:00,0,8
Shaul4,21,15:45:00,16:00:00,7.377922231017469,20
Shaul1,21,16:00:00,16:15:00,25.887050897144807,16
Shaul2,21,16:00:00,16:15:00,26.294592196152692,12
Shaul3,21,16:00:00,16:15:00,0,4
Shaul4,21,16:00:00,16:15:00,8.019480685888553,11
Shaul1,21,16:15:00,16:30:00,25.887050897144807,21
Shaul2,21,16:15:00,16:30:00,26.29459219615269,22
Shaul3,21,16:15:00,16:30:00,0,5
Shaul4,21,16:15:00,16:30:00,9.623376823066263,19
Shaul1,21,16:30:00,16:45:00,25.887050897144807,16
Shaul2,21,16:30:00,16:45:00,26.294592196152692,13
Shaul3,21,16:30:00,16:45:00,0,5
Shaul4,21,16:30:00,16:45:00,7.377922231017467,14
Shaul1,21,16:45:00,17:00:00,23.298345807430326,13
Shaul2,21,16:45:00,17:00:00,26.294592196152692,11
Shaul3,21,16:45:00,17:00:00,0,7
Shaul4,21,16:45:00,17:00:00,9.623376823066263,15
Shaul1,21,17:00:00,17:15:00,21.57254241428734,18
Shaul2,21,17:00:00,17:15:00,26.294592196152692,16
Shaul3,21,17:00:00,17:15:00,0,6
Shaul4,21,17:00:00,17:15:00,9.623376823066263,14
Shaul1,21,17:15:00,17:30:00,25.887050897144807,10
Shaul2,21,17:15:00,17:30:00,26.29459219615269,14
Shaul3,21,17:15:00,17:30:00,0,9
Shaul4,21,17:15:00,17:30:00,9.623376823066263,16
Shaul1,21,17:30:00,17:45:00,25.887050897144807,17
Shaul2,21,17:30:00,17:45:00,26.294592196152692,13
Shaul3,21,17:30:00,17:45:00,0,6
Shaul4,21,17:30:00,17:45:00,6.415584548710842,9
Shaul1,21,17:45:00,18:00:00,25.887050897144807,18
Shaul2,21,17:45:00,18:00:00,26.294592196152692,12
Shaul3,21,17:45:00,18:00:00,0,4
Shaul4,21,17:45:00,18:00:00,7.217532617299697,9
Shaul1,21,18:00:00,18:15:00,25.887050897144807,18
Shaul2,21,18:00:00,18:15:00,23.007768171633604,18
Shaul3,21,18:00:00,18:15:00,0,3
Shaul4,21,18:00:00,18:15:00,7.484848640162649,18
Shaul1,21,18:15:00,18:30:00,25.887050897144807,11
Shaul2,21,18:15:00,18:30:00,26.29459219615269,9
Shaul4,21,18:15:00,18:30:00,8.019480685888553,8
Shaul1,21,18:30:00,18:45:00,25.887050897144807,16
Shaul2,21,18:30:00,18:45:00,24.103376179806634,13
Shaul3,21,18:30:00,18:45:00,0,4
Shaul4,21,18:30:00,18:45:00,6.415584548710841,10
Shaul1,21,18:45:00,19:00:00,25.887050897144807,16
Shaul2,21,18:45:00,19:00:00,26.29459219615269,14
Shaul3,21,18:45:00,19:00:00,0,4
Shaul4,21,18:45:00,19:00:00,9.623376823066263,14
Shaul1,21,19:00:00,19:15:00,22.651169535001706,13
Shaul2,21,19:00:00,19:15:00,26.294592196152692,9
Shaul3,21,19:00:00,19:15:00,0,7
Shaul4,21,19:00:00,19:15:00,9.623376823066263,10
Shaul1,21,19:15:00,19:30:00,23.298345807430326,15
Shaul2,21,19:15:00,19:30:00,26.294592196152692,13
Shaul3,21,19:15:00,19:30:00,0,6
Shaul4,21,19:15:00,19:30:00,6.8165585830052695,11
Shaul1,21,19:30:00,19:45:00,25.887050897144807,18
Shaul2,21,19:30:00,19:45:00,26.294592196152692,10
Shaul3,21,19:30:00,19:45:00,0,1
Shaul4,21,19:30:00,19:45:00,6.415584548710842,11
Shaul1,21,19:45:00,20:00:00,25.887050897144807,6
Shaul2,21,19:45:00,20:00:00,26.294592196152692,8
Shaul3,21,19:45:00,20:00:00,0,2
Shaul4,21,19:45:00,20:00:00,6.415584548710841,10
Shaul1,21,20:00:00,20:15:00,25.887050897144807,9
Shaul2,21,20:00:00,20:15:00,26.294592196152692,10
Shaul3,21,20:00:00,20:15:00,0,2
Shaul4,21,20:00:00,20:15:00,9.623376823066263,11
Shaul1,21,20:15:00,20:30:00,25.887050897144807,10
Shaul2,21,20:15:00,20:30:00,26.294592196152692,7
Shaul3,21,20:15:00,20:30:00,0,4
Shaul4,21,20:15:00,20:30:00,9.623376823066263,9
Shaul1,21,20:30:00,20:45:00,25.887050897144807,10
Shaul2,21,20:30:00,20:45:00,26.294592196152692,7
Shaul3,21,20:30:00,20:45:00,0,5
Shaul4,21,20:30:00,20:45:00,7.217532617299697,10
Shaul1,21,20:45:00,21:00:00,25.887050897144807,14
Shaul2,21,20:45:00,21:00:00,0,9
Shaul3,21,20:45:00,21:00:00,0,7
Shaul4,21,20:45:00,21:00:00,9.623376823066263,10
Shaul1,21,21:00:00,21:15:00,25.887050897144807,9
Shaul2,21,21:00:00,21:15:00,13.147296098076346,7
Shaul3,21,21:00:00,21:15:00,0,2
Shaul4,21,21:00:00,21:15:00,9.623376823066263,8
Shaul1,21,21:15:00,21:30:00,0,4
Shaul2,21,21:15:00,21:30:00,26.294592196152692,6
Shaul3,21,21:15:00,21:30:00,0,2
Shaul4,21,21:15:00,21:30:00,9.623376823066263,7
Shaul1,21,21:30:00,21:45:00,25.887050897144807,14
Shaul2,21,21:30:00,21:45:00,26.294592196152692,7
Shaul3,21,21:30:00,21:45:00,0,4
Shaul4,21,21:30:00,21:45:00,0,6
Shaul1,21,21:45:00,22:00:00,25.887050897144807,12
Shaul2,21,21:45:00,22:00:00,26.294592196152692,7
Shaul3,21,21:45:00,22:00:00,0,4
